seed_id,candidate_id,candidate_rank,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,candidate_title,candidate_model,candidate_error,candidate_clickbait_penalty,candidate_predicted_clickbait,candidate_pred_faithfulness,candidate_pred_clarity,candidate_pred_specificity,candidate_pred_attractiveness,candidate_pred_non_clickbait,candidate_pred_overall,candidate_quality_reward,candidate_pairwise_reward,agentic_final_score
1,1_c1,1,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,NASA Astronauts Face Physical Demands During Spacewalks,gpt-4o-mini,,0.00011008232104359195,0.0,4.713547706604004,4.791173458099365,4.396725654602051,4.071758270263672,4.798831939697266,4.645174980163574,4.5552659034729,0.14934244751930237,4.592491149902344
1,1_c2,2,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,Spacewalks Challenge NASA Astronauts' Physical Endurance,gpt-4o-mini,,9.551642142469063e-05,0.0,4.704214572906494,4.7893266677856445,4.376727104187012,4.066855430603027,4.79378604888916,4.628244400024414,4.546225070953369,0.1341707855463028,4.579672336578369
1,1_c3,3,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,Hard Work Required for NASA Astronauts on Spacewalks,gpt-4o-mini,,0.00013084601960144937,0.0,4.708557605743408,4.791244029998779,4.377943992614746,4.008874416351318,4.799375057220459,4.635372638702393,4.537735939025879,0.1497184783220291,4.575035095214844
2,2_c1,1,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Lodi Celebrates International Tempranillo Day with Annual Wine Tour,gpt-4o-mini,,0.0001236770476680249,0.0,4.75467586517334,4.788623809814453,4.554196834564209,4.181551933288574,4.817785739898682,4.727828025817871,4.621852874755859,0.1237785741686821,4.652674198150635
2,2_c2,2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Bokisch Vineyards Hosts Fourth Annual Lodi Tempranillo Tour This Weekend,gpt-4o-mini,,9.445613977732137e-05,0.0,4.753106594085693,4.785048484802246,4.566311836242676,4.172718048095703,4.813282012939453,4.732656478881836,4.620782375335693,0.1382291316986084,4.655245304107666
2,2_c3,3,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Thirteen Wineries Participate in Lodi's Tempranillo Celebration Event,gpt-4o-mini,,0.00017645384650677443,0.0,4.7518792152404785,4.788267135620117,4.55265998840332,4.178870677947998,4.817293167114258,4.724245071411133,4.619901657104492,0.12899430096149445,4.651973724365234
3,3_c1,1,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,Roller Coasters: The Thrill and Fear of Modern Rides,gpt-4o-mini,,0.9935802221298218,1.0,3.3620896339416504,3.7259111404418945,2.7392783164978027,3.0767345428466797,3.6568593978881836,3.157630205154419,3.2899396419525146,0.15095177292823792,2.334097385406494
3,3_c2,2,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,Exploring the Record-Breaking Speed of Today's Roller Coasters,gpt-4o-mini,,0.9997739195823669,1.0,4.430310249328613,4.616693496704102,3.7950611114501953,3.741478443145752,4.623530387878418,4.230924606323242,4.234258651733398,0.14117515087127686,3.269778251647949
3,3_c3,3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,The Evolution of Roller Coasters: Adrenaline and Innovation,gpt-4o-mini,,0.041612476110458374,0.0,3.431072235107422,3.83272647857666,2.762500286102295,3.1308798789978027,3.808072805404663,3.2369439601898193,3.368133306503296,0.13590091466903687,3.3604960441589355
4,4_c1,1,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Seattle Seahawks Defeat Unbeaten 49ers in Strong Comeback,gpt-4o-mini,,8.097776299109682e-05,0.0,4.716595649719238,4.765274524688721,4.4482316970825195,4.082744598388672,4.781115531921387,4.644944190979004,4.559385299682617,0.056217923760414124,4.573358535766602
