seed_id,candidate_id,candidate_rank,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,candidate_title,candidate_model,candidate_error,candidate_clickbait_penalty,candidate_predicted_clickbait,candidate_pred_faithfulness,candidate_pred_clarity,candidate_pred_specificity,candidate_pred_attractiveness,candidate_pred_non_clickbait,candidate_pred_overall,candidate_quality_reward,candidate_pairwise_reward,agentic_final_score
1,1_c1,1,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,NASA Astronauts Face Physical Demands During Spacewalks,gpt-4o-mini,,0.00011008232104359195,0.0,4.718375205993652,4.799376010894775,4.283450126647949,3.9165077209472656,4.841750144958496,4.514134407043457,4.50299596786499,0.6337146759033203,4.661314487457275
1,1_c2,2,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,Spacewalks Challenge NASA Astronauts' Physical Endurance,gpt-4o-mini,,9.551642142469063e-05,0.0,4.714282989501953,4.7998151779174805,4.256156921386719,3.946662187576294,4.833053112030029,4.4946370124816895,4.500720977783203,0.6792097687721252,4.670428276062012
1,1_c3,3,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,Hard Work Required for NASA Astronauts on Spacewalks,gpt-4o-mini,,0.00013084601960144937,0.0,4.785390853881836,4.841920852661133,4.409207344055176,3.9490320682525635,4.875630855560303,4.626407146453857,4.567808628082275,0.699957013130188,4.742667198181152
2,2_c1,1,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Lodi Celebrates International Tempranillo Day with Annual Wine Tour,gpt-4o-mini,,0.0001236770476680249,0.0,4.8525004386901855,4.874279975891113,4.687597274780273,4.221619129180908,4.898067951202393,4.7827558517456055,4.704716682434082,0.7410854697227478,4.889864444732666
2,2_c2,2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Bokisch Vineyards Hosts Fourth Annual Lodi Tempranillo Tour This Weekend,gpt-4o-mini,,9.445613977732137e-05,0.0,4.856061935424805,4.868523597717285,4.710819244384766,4.215170860290527,4.893579006195068,4.795668601989746,4.707554817199707,0.8910019397735596,4.930211067199707
2,2_c3,3,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Thirteen Wineries Participate in Lodi's Tempranillo Celebration Event,gpt-4o-mini,,0.00017645384650677443,0.0,4.8527936935424805,4.8702287673950195,4.686528205871582,4.203510284423828,4.897895812988281,4.783764839172363,4.700474739074707,0.7900698781013489,4.897815704345703
3,3_c1,1,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,Roller Coasters: The Thrill and Fear of Modern Rides,gpt-4o-mini,,0.9935802221298218,1.0,3.4791877269744873,4.055588722229004,2.8557724952697754,3.2727341651916504,4.187417030334473,3.2295801639556885,3.5121185779571533,0.4850628077983856,2.639803886413574
3,3_c2,2,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,Exploring the Record-Breaking Speed of Today's Roller Coasters,gpt-4o-mini,,0.9997739195823669,1.0,4.2296552658081055,4.566620826721191,3.471254825592041,3.5983169078826904,4.669615745544434,3.9120588302612305,4.074406623840332,0.7030482292175293,3.250394821166992
3,3_c3,3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,The Evolution of Roller Coasters: Adrenaline and Innovation,gpt-4o-mini,,0.041612476110458374,0.0,3.75032114982605,4.311526775360107,3.090231418609619,3.4124975204467773,4.449839115142822,3.5603787899017334,3.7538576126098633,0.4691275954246521,3.8295271396636963
4,4_c1,1,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Seattle Seahawks Defeat Unbeaten 49ers in Strong Comeback,gpt-4o-mini,,8.097776299109682e-05,0.0,4.768248558044434,4.801527976989746,4.49993371963501,4.002279758453369,4.8412580490112305,4.6216511726379395,4.5760908126831055,0.5899333953857422,4.7234930992126465
4,4_c2,2,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Mike Jones Reports Seahawks' Impressive Win Over 49ers,gpt-4o-mini,,9.529117232887074e-05,0.0,4.8234357833862305,4.845893383026123,4.623752593994141,4.090453147888184,4.875527381896973,4.7137041091918945,4.647095680236816,0.7692314982414246,4.839308261871338
4,4_c3,3,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Seattle Seahawks Prove Their Strength Against 49ers' Undefeated Record,gpt-4o-mini,,9.273824980482459e-05,0.0,4.660531044006348,4.745614051818848,4.2473530769348145,3.897974967956543,4.7995285987854,4.4496989250183105,4.458571434020996,0.47905048727989197,4.578241348266602
5,5_c1,1,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,Cyclones and Longhorns Announce Starters for Big 12 Matchup,gpt-4o-mini,,8.73520111781545e-05,0.0,4.8529372215271,4.858918190002441,4.751193046569824,4.178059101104736,4.887770652770996,4.797821521759033,4.703310489654541,0.8035567998886108,4.904112339019775
5,5_c2,2,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,Big 12 Conference Starters Revealed for Cyclones vs. Longhorns,gpt-4o-mini,,0.0001422022469341755,0.0,4.854114532470703,4.861687183380127,4.741438388824463,4.158144950866699,4.890262603759766,4.797909736633301,4.6989569664001465,0.6874740123748779,4.870683193206787
5,5_c3,3,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,"Cyclones, Longhorns Set for 2019 Big 12 Showdown at Jack Trice",gpt-4o-mini,,0.00024172851408366114,0.0,4.85401725769043,4.864872455596924,4.723087787628174,4.176990985870361,4.889871120452881,4.7819366455078125,4.698770999908447,0.7043130397796631,4.874607563018799
