seed_id,agentic_selected_candidate_id,agentic_selected_candidate_rank,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,agentic_selected_title,candidate_model,candidate_error,agentic_clickbait_penalty,agentic_predicted_clickbait,candidate_pred_faithfulness,candidate_pred_clarity,candidate_pred_specificity,candidate_pred_attractiveness,candidate_pred_non_clickbait,candidate_pred_overall,agentic_quality_reward,agentic_pairwise_reward,agentic_final_score
1,1_c1,1,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,NASA Astronauts Face Physical Demands During Spacewalks,gpt-4o-mini,,0.00011008232104359195,0.0,4.713547706604004,4.791173458099365,4.396725654602051,4.071758270263672,4.798831939697266,4.645174980163574,4.5552659034729,0.14934244751930237,4.592491149902344
2,2_c2,2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Bokisch Vineyards Hosts Fourth Annual Lodi Tempranillo Tour This Weekend,gpt-4o-mini,,9.445613977732137e-05,0.0,4.753106594085693,4.785048484802246,4.566311836242676,4.172718048095703,4.813282012939453,4.732656478881836,4.620782375335693,0.1382291316986084,4.655245304107666
3,3_c3,3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,The Evolution of Roller Coasters: Adrenaline and Innovation,gpt-4o-mini,,0.041612476110458374,0.0,3.431072235107422,3.83272647857666,2.762500286102295,3.1308798789978027,3.808072805404663,3.2369439601898193,3.368133306503296,0.13590091466903687,3.3604960441589355
4,4_c2,2,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Mike Jones Reports Seahawks' Impressive Win Over 49ers,gpt-4o-mini,,9.529117232887074e-05,0.0,4.747246742248535,4.7878923416137695,4.552501201629639,4.151561737060547,4.805361747741699,4.700264930725098,4.60901403427124,0.05105217918753624,4.6216816902160645
5,5_c1,1,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,Cyclones and Longhorns Announce Starters for Big 12 Matchup,gpt-4o-mini,,8.73520111781545e-05,0.0,4.742273330688477,4.775202751159668,4.600502967834473,4.191370964050293,4.7996625900268555,4.719453811645508,4.622093200683594,0.06456403434276581,4.638146877288818
6,6_c1,1,63352,N1369,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,Local Airman returns from 6 Months in Afghanistan,health,wellness,8.4165134e-05,0,Local Airman Welcomed Home by Family and Friends in Miami Valley,gpt-4o-mini,,0.0001501459046266973,0.0,4.748382568359375,4.794699668884277,4.574278354644775,4.204527854919434,4.810245990753174,4.709524154663086,4.625837326049805,0.10275930911302567,4.651376724243164
7,7_c2,2,29280,N3913,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...","Hartford's Weaver forging a new identity at campus shared by public, magnet students",news,newsus,0.00013871084,0,Weaver Campus Students Work to Integrate Two School Communities,gpt-4o-mini,,0.00020266440697014332,0.0,4.749141216278076,4.798784255981445,4.535046577453613,4.193426609039307,4.8188371658325195,4.713602066040039,4.6202311515808105,0.12165538966655731,4.650442123413086
8,8_c1,1,13158,N36369,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",Louis Domingue changes agents amid attempt to play at NHL level again,sports,icehockey_nhl,7.8780766e-05,0,Domingue Seeks Regular Playing Opportunity Before Free Agency,gpt-4o-mini,,0.00010918472253251821,0.0,4.715512752532959,4.792209625244141,4.434470176696777,4.113528251647949,4.808553695678711,4.658591270446777,4.572727680206299,0.10954402387142181,4.60000467300415
9,9_c1,1,5749,N61058,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,Driver dies after being shot in St. Paul's Summit-U area,news,newsworld,7.788181e-05,0,Driver Fatally Shot in St. Paul on Sunday Night,gpt-4o-mini,,0.00010662867134669796,0.0,4.749660491943359,4.792363166809082,4.568009853363037,4.177196979522705,4.812036514282227,4.713281631469727,4.620044231414795,0.06523483991622925,4.636246204376221
10,10_c2,2,37719,N1117,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,High school football: First-round playoff pairings,sports,basketball_ncaa,0.0001209557,0,Complete First-Round Playoff Pairings for Oklahoma Classes Released,gpt-4o-mini,,0.00013699938426725566,0.0,4.74530029296875,4.783666610717773,4.567771911621094,4.15383243560791,4.80403995513916,4.712978363037109,4.611711025238037,0.1419287919998169,4.647056579589844
11,11_c2,2,8696,N50539,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",50+ Amazing Things That Happened in the '50s,lifestyle,lifestyledidyouknow,0.99997616,1,"A Decade of Princesses, New Queen, and Future King of Pop",gpt-4o-mini,,0.026697536930441856,0.0,4.659759044647217,4.770641326904297,4.363189220428467,4.049319267272949,4.7867913246154785,4.583705902099609,4.521267414093018,0.09323828667402267,4.517879486083984
12,12_c1,1,41048,N38458,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",Javonte Green didn't expect to play as much as he did vs. Mavericks,sports,basketball_nba,0.86899936,1,"{""headlines"":[""Celtics' Javonte Green Steps Up Amid Gordon Hayward's Injury"",""Celtics Thrive as Javonte Green Contributes After Last Year's Absence"",""Javonte Green Helps Celtics Tie Game Against Mavericks 86-86""}",gpt-4o-mini,,0.9527753591537476,1.0,4.212291717529297,4.437427520751953,3.573593854904175,3.486790657043457,4.45753288269043,4.045418739318848,4.025256156921387,0.09901243448257446,3.097233772277832
13,13_c1,1,55398,N31239,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,Charges possible after woman dies in ATV crash,travel,travelnews,8.0252066e-05,0,Game Wardens Investigate Fatal ATV Crash Near Belfast,gpt-4o-mini,,7.326818740693852e-05,0.0,4.7540483474731445,4.792708396911621,4.546977996826172,4.122733116149902,4.824398040771484,4.712597370147705,4.608931064605713,0.1500178873538971,4.6463623046875
14,14_c3,3,5962,N6385,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,Environmentalists' new target? Charmin toilet paper,finance,finance-companies,7.264649e-05,0,Environmentalists Call for Recycled Materials in Procter & Gamble Products,gpt-4o-mini,,9.659690840635449e-05,0.0,4.740823745727539,4.796156406402588,4.538769721984863,4.16044282913208,4.8092546463012695,4.690640449523926,4.607985973358154,0.18289849162101746,4.653613567352295
15,15_c1,1,52250,N35503,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,"Ford-UAW deal includes closing Romeo Engine Plant, moving 600 jobs",news,newsus,6.76546e-05,0,Plant Officials Inform Workers of Contract Agreement Within 12 Hours,gpt-4o-mini,,7.315410766750574e-05,0.0,4.748140811920166,4.781434059143066,4.570598602294922,4.184779167175293,4.807234287261963,4.712165832519531,4.619097709655762,0.10100779682397842,4.6442766189575195
16,16_c1,1,9698,N59081,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",Top things to do in Tampa Bay this weekend: Oct. 18-20,travel,travelarticle,0.9996277,1,Tampa Theatre Hosts Halloween Festival with Live Shows and Talks,gpt-4o-mini,,9.391312778461725e-05,0.0,4.756749153137207,4.791942596435547,4.548272132873535,4.147980690002441,4.820971488952637,4.719654083251953,4.614926815032959,0.08522553741931915,4.636139392852783
17,17_c3,3,14125,N37428,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,"Homeless Become More Visible in Austin, Sparking Political Clash",news,newsus,8.295391e-05,0,State Leaders Target Austin's Approach to Homeless Encampments,gpt-4o-mini,,0.0001076084517990239,0.0,4.749028205871582,4.784601211547852,4.573397636413574,4.198947906494141,4.8089447021484375,4.719488143920898,4.62403678894043,0.0954066589474678,4.647780895233154
